detector_id,correlation,correlation_ma
0,0.547,0.700
00002PMA0001,0.164,0.172
00003PMA0001,-0.323,-0.114
00005PMA0001,-0.573,-0.610
00005PMA0002,-0.093,-0.112
00006PMA0001,0.417,0.604
00006PMA0054,0.157,0.323
00007PMA0001,0.562,0.647
00007PMA0004,0.200,0.204
00007PMA0032,-0.022,-0.122
00008PMA0002,N/A,N/A
00010PMA0003,0.316,0.445
00010PMA0004,0.206,0.330
00010PMA0021,N/A,N/A
00012PMA0001,0.540,0.650
00014PMA0002,0.455,0.548
00015PMA0043,-0.089,0.021
00016PMA0765,0.789,0.833
00017PMA0021,-0.575,-0.551
00017PMA0043,N/A,N/A
00021PMA0001,0.394,0.438
00021PMA0002,-0.216,-0.236
00027PMA0001,0.097,0.226
00028PMA0004,0.878,0.937
00031PMA0001,0.275,0.354
00031PMA0002,-0.249,-0.133
00032PMA0001,-0.223,-0.026
00032PMA0002,-0.623,-0.461
00032PMA0003,-0.329,-0.367
00034PMA0001,0.612,0.716
00034PMA0002,0.165,0.227
00036PMA0043,0.324,0.478
00041PMA0001,0.661,0.776
00043PMA0001,0.351,0.389
00043PMA0002,0.805,0.892
00044PMA0032,0.189,0.277
00048PMA0001,-0.010,0.228
00048PMA0002,0.273,0.285
00054PMA0001,0.092,0.239
00055PMA0003,-0.168,-0.126
00055PMA0004,0.222,0.221
00056PMA0003,0.044,0.260
00056PMA0004,0.463,0.604
00061PMA0001,-0.181,-0.241
00062PMA0001,0.012,0.179
00062PMA0002,0.204,0.444
00064PMA0001,0.567,0.682
00064PMA0002,-0.169,-0.190
00067PMA0031,-0.091,-0.053
00077PMA0001,-0.424,-0.288
00086PMA0001,0.648,0.762
00088PMA0001,0.020,0.036
00089PMA0001,0.437,0.522
00089PMA0002,-0.095,-0.101
00089PMA0043,0.206,0.311
00089PMA0065,0.067,0.076
00090PMA0001,N/A,N/A
00091PMA0043,0.177,0.239
00091PMA0065,0.359,0.402
00092PMA0021,0.436,0.522
00092PMA0043,0.237,0.215
00092PMA0065,N/A,N/A
00096PMA0001,-0.031,-0.032
00097PMA0001,-0.483,-0.522
00097PMA0002,0.594,0.668
00104PMA0021,0.548,0.606
00112PMA0001,-0.324,-0.115
00116PMA0001,0.091,0.131
00118PMA0003,0.015,0.009
00120PMA0001,0.261,0.292
00120PMA0003,-0.233,-0.077
00120PMA0004,0.258,0.390
00122PMA0001,0.276,0.335
00130PMA0001,-0.010,0.102
00142PMA0001,0.176,0.247
00143PMA0001,-0.163,-0.268
00163PMA0001,-0.220,-0.204
00168PMA0021,0.070,0.030
00177PMA0021,0.175,0.194
00192PMA0001,0.153,0.190
00192PMA0063,0.122,0.340
00208PMA0003,0.187,0.275
00226PMA0002,-0.249,-0.337
00226PMA0003,0.316,0.473
00235PMA0001,-0.257,0.021
00235PMA0002,-0.298,-0.191
00238PMA0001,-0.421,-0.454
00280PMA0001,-0.010,0.443
00293PMA0001,0.351,0.420
00323PMA0021,0.206,0.204
