detector_id,correlation,correlation_ma
10004001,0.224,0.174
10004002,0.142,0.316
10004004,-0.035,0.188
10004005,-0.095,0.022
10004006,0.650,0.893
10004007,0.530,0.809
10004008,0.551,0.534
10004009,0.424,0.480
10004010,0.557,0.581
10004011,0.332,0.679
10004012,0.507,0.633
10004013,0.350,0.540
10004014,0.080,0.071
10004021,0.677,0.806
10004022,0.866,0.912
10006001,0.337,0.588
10006002,0.301,0.358
10006003,0.097,0.146
10006004,0.190,0.276
10006005,0.392,0.668
10006006,0.107,0.206
10006007,0.193,0.235
10006008,0.144,0.214
10008001,-0.046,-0.075
10008002,0.204,0.364
10008003,0.482,0.360
10008004,0.363,0.359
10008005,0.252,0.389
10008006,0.460,0.590
10008007,0.613,0.816
10008008,0.400,0.613
10008009,0.098,0.276
10008010,0.473,0.495
10008011,0.577,0.722
10008012,0.509,0.600
10008013,0.203,0.232
10010001,0.188,0.384
10010002,-0.071,-0.128
10010004,0.470,0.597
10010005,-0.144,0.110
10010006,0.233,0.323
10010008,-0.054,-0.149
10010009,0.056,0.060
10011001,-0.382,-0.184
10011002,-0.438,-0.181
10011003,0.268,0.340
10011004,-0.148,-0.094
10011005,0.055,0.065
10011007,-0.035,-0.064
10011008,-0.206,-0.105
10011009,-0.652,-0.709
10012001,0.129,0.238
10012002,0.216,0.271
10012003,-0.115,-0.132
10012004,-0.248,-0.246
10018001,0.355,0.574
10018002,0.089,0.107
10018003,0.031,0.200
10018004,0.207,0.490
10018005,0.195,0.454
10018006,0.374,0.441
10018007,0.153,0.240
10018008,-0.113,0.124
10018009,0.279,0.260
10018010,0.274,0.481
10018011,0.213,0.467
10018012,0.297,0.429
10018013,0.496,0.684
10018035,0.893,0.947
10029001,-0.235,-0.228
10029002,-0.268,-0.283
10029003,-0.044,0.001
10029004,0.390,0.615
10029005,-0.135,-0.026
10029006,-0.028,0.057
10029007,0.268,0.194
10029008,0.354,0.356
10029009,0.336,0.394
10029010,0.096,0.277
10037001,0.306,0.525
10037002,0.371,0.550
10037003,0.344,0.528
10037005,0.198,0.394
10037006,0.144,0.380
10037007,0.355,0.574
10038001,-0.106,-0.137
10038002,0.035,0.273
10038003,0.369,0.663
10038004,0.235,0.653
10066001,0.194,0.447
10066002,-0.055,0.386
10066003,0.078,0.213
10066004,-0.083,-0.176
10066006,-0.176,-0.010
10066007,0.244,0.259
10066008,-0.191,-0.429
10069001,-0.536,-0.646
10069002,-0.231,-0.414
10069003,-0.663,-0.753
10069005,0.034,0.111
10069006,0.138,0.259
1007.21,-0.221,-0.317
1007.22,-0.360,-0.382
1007.23,-0.363,-0.267
1007.24,-0.263,-0.279
1007.41,-0.150,-0.210
1007.42,-0.147,-0.176
10074001,0.250,0.621
10074002,nan,nan
10074004,-0.338,-0.354
10074005,0.056,0.510
10074006,0.327,0.564
10074009,-0.473,-0.373
10077001,0.478,0.692
10077002,0.360,0.472
10077003,-0.661,-0.663
10077004,0.682,0.817
10077005,0.487,0.767
10077007,0.391,0.572
10080001,0.068,0.243
10080002,0.199,0.441
10080003,-0.216,-0.142
10080004,-0.006,-0.113
10080005,0.119,0.392
