City;Country
Augsburg;Germany
Basel;Switzerland
Berne;Switzerland
Birmingham;UK
Bolton;UK
Bremen;Germany
Bordeaux;France
Cagliari;Italy
Constance;Germany
Darmstadt;Germany
Essen;Germany
Frankfurt;Germany
Graz;Austria
Groningen;Netherlands
Hamburg;Germany
Innsbruck;Austria
Kassel;Germany
London;UK
Los Angeles;USA
Lucerne;Switzerland
Madrid;Spain
Melbourne;Australia
Manchester;UK
Marseille;France
Munich;Germany
Paris;France
Rotterdam;Netherlands
Santander;Spain
Speyer;Germany
Strasbourg;France
Stuttgart;Germany
Taipei;Taiwan
Tokyo;Japan
Torino;Italy
Toulouse;France
Utrecht;Netherlands
Vilnius;Lithuania
Wolfsburg;Germany
Zurich;Switzerland
