Epoch 001: Train Loss: 3.0150 (TP, FP, TN, FN)=(3913, 6728, 132, 63), Val Loss: 3.1473 (TP, FP, TN, FN)=(432, 729, 17, 12), f1=0.5383
Epoch 002: Train Loss: 5.0440 (TP, FP, TN, FN)=(0, 2, 6883, 3990), Val Loss: 5.8630 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 003: Train Loss: 2.8101 (TP, FP, TN, FN)=(79, 167, 6799, 3944), Val Loss: 3.5005 (TP, FP, TN, FN)=(8, 14, 732, 436), f1=0.0343
Epoch 004: Train Loss: 1.2400 (TP, FP, TN, FN)=(2175, 3171, 3686, 1801), Val Loss: 1.5472 (TP, FP, TN, FN)=(229, 336, 410, 215), f1=0.4539
Epoch 005: Train Loss: 1.7712 (TP, FP, TN, FN)=(3900, 6709, 159, 77), Val Loss: 1.9124 (TP, FP, TN, FN)=(432, 729, 17, 12), f1=0.5383
Epoch 006: Train Loss: 1.8569 (TP, FP, TN, FN)=(3948, 6809, 52, 30), Val Loss: 2.0006 (TP, FP, TN, FN)=(442, 741, 5, 2), f1=0.5433
Epoch 007: Train Loss: 1.3445 (TP, FP, TN, FN)=(3903, 6784, 243, 113), Val Loss: 1.4756 (TP, FP, TN, FN)=(430, 716, 30, 14), f1=0.5409
Epoch 008: Train Loss: 0.9018 (TP, FP, TN, FN)=(2487, 4151, 2743, 1507), Val Loss: 1.0514 (TP, FP, TN, FN)=(252, 462, 284, 192), f1=0.4352
Epoch 009: Train Loss: 0.9992 (TP, FP, TN, FN)=(231, 362, 6554, 3760), Val Loss: 1.2807 (TP, FP, TN, FN)=(13, 41, 705, 431), f1=0.0522
Epoch 010: Train Loss: 1.1386 (TP, FP, TN, FN)=(56, 88, 6782, 3922), Val Loss: 1.4196 (TP, FP, TN, FN)=(4, 11, 735, 440), f1=0.0174
Epoch 011: Train Loss: 1.0442 (TP, FP, TN, FN)=(60, 87, 6789, 3922), Val Loss: 1.2242 (TP, FP, TN, FN)=(3, 14, 732, 441), f1=0.0130
Epoch 012: Train Loss: 0.8536 (TP, FP, TN, FN)=(146, 219, 6638, 3830), Val Loss: 0.9141 (TP, FP, TN, FN)=(11, 30, 716, 433), f1=0.0454
Epoch 013: Train Loss: 0.7317 (TP, FP, TN, FN)=(564, 943, 5940, 3418), Val Loss: 0.7771 (TP, FP, TN, FN)=(53, 92, 654, 391), f1=0.1800
Epoch 014: Train Loss: 0.7320 (TP, FP, TN, FN)=(2045, 3793, 3064, 1931), Val Loss: 0.7758 (TP, FP, TN, FN)=(218, 410, 336, 226), f1=0.4067
Epoch 015: Train Loss: 0.7836 (TP, FP, TN, FN)=(3343, 5714, 1151, 635), Val Loss: 0.8326 (TP, FP, TN, FN)=(371, 620, 126, 73), f1=0.5171
Epoch 016: Train Loss: 0.8160 (TP, FP, TN, FN)=(3745, 6462, 432, 233), Val Loss: 0.8647 (TP, FP, TN, FN)=(419, 702, 44, 25), f1=0.5355
Epoch 017: Train Loss: 0.8020 (TP, FP, TN, FN)=(3809, 6582, 331, 176), Val Loss: 0.8547 (TP, FP, TN, FN)=(427, 707, 39, 17), f1=0.5412
Epoch 018: Train Loss: 0.7645 (TP, FP, TN, FN)=(3686, 6293, 564, 290), Val Loss: 0.8131 (TP, FP, TN, FN)=(413, 676, 70, 31), f1=0.5388
Epoch 019: Train Loss: 0.7156 (TP, FP, TN, FN)=(3271, 5417, 1440, 705), Val Loss: 0.7242 (TP, FP, TN, FN)=(365, 583, 163, 79), f1=0.5244
Epoch 020: Train Loss: 0.6903 (TP, FP, TN, FN)=(2322, 3570, 3331, 1660), Val Loss: 0.7007 (TP, FP, TN, FN)=(239, 390, 356, 205), f1=0.4455
Epoch 021: Train Loss: 0.6934 (TP, FP, TN, FN)=(1181, 1555, 5342, 2808), Val Loss: 0.7113 (TP, FP, TN, FN)=(119, 159, 587, 325), f1=0.3296
Epoch 022: Train Loss: 0.7111 (TP, FP, TN, FN)=(636, 792, 6292, 3423), Val Loss: 0.7383 (TP, FP, TN, FN)=(65, 69, 677, 379), f1=0.2249
Epoch 023: Train Loss: 0.7216 (TP, FP, TN, FN)=(460, 574, 6311, 3524), Val Loss: 0.7539 (TP, FP, TN, FN)=(47, 51, 695, 397), f1=0.1734
Epoch 024: Train Loss: 0.7159 (TP, FP, TN, FN)=(500, 618, 6239, 3476), Val Loss: 0.7509 (TP, FP, TN, FN)=(53, 54, 692, 391), f1=0.1924
Epoch 025: Train Loss: 0.7007 (TP, FP, TN, FN)=(777, 1004, 5908, 3206), Val Loss: 0.7373 (TP, FP, TN, FN)=(80, 105, 641, 364), f1=0.2544
Epoch 026: Train Loss: 0.6845 (TP, FP, TN, FN)=(1593, 2260, 4625, 2397), Val Loss: 0.7242 (TP, FP, TN, FN)=(166, 232, 514, 278), f1=0.3943
