Epoch 001: Train Loss: 1.4522 (TP, FP, TN, FN)=(1468, 2737, 4171, 2510), Val Loss: 1.8611 (TP, FP, TN, FN)=(175, 296, 450, 269), f1=0.3825
Epoch 002: Train Loss: 5.0494 (TP, FP, TN, FN)=(0, 0, 7069, 4059), Val Loss: 6.5961 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 003: Train Loss: 3.7192 (TP, FP, TN, FN)=(0, 0, 6917, 4004), Val Loss: 4.7974 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 004: Train Loss: 1.8838 (TP, FP, TN, FN)=(1, 7, 6903, 3996), Val Loss: 2.5283 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 005: Train Loss: 0.8328 (TP, FP, TN, FN)=(1242, 1937, 5179, 2781), Val Loss: 0.9988 (TP, FP, TN, FN)=(130, 223, 523, 314), f1=0.3262
Epoch 006: Train Loss: 2.0230 (TP, FP, TN, FN)=(3977, 6857, 87, 28), Val Loss: 2.0368 (TP, FP, TN, FN)=(438, 735, 11, 6), f1=0.5417
Epoch 007: Train Loss: 0.9714 (TP, FP, TN, FN)=(2352, 4223, 2702, 1644), Val Loss: 0.9875 (TP, FP, TN, FN)=(255, 471, 275, 189), f1=0.4359
Epoch 008: Train Loss: 0.6113 (TP, FP, TN, FN)=(198, 349, 6662, 3867), Val Loss: 0.6788 (TP, FP, TN, FN)=(21, 36, 710, 423), f1=0.0838
Epoch 009: Train Loss: 0.8058 (TP, FP, TN, FN)=(12, 13, 6851, 3964), Val Loss: 0.9346 (TP, FP, TN, FN)=(1, 0, 746, 443), f1=0.0045
Epoch 010: Train Loss: 0.9259 (TP, FP, TN, FN)=(0, 0, 6954, 4001), Val Loss: 1.0969 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 011: Train Loss: 0.9352 (TP, FP, TN, FN)=(0, 0, 6952, 4003), Val Loss: 1.0954 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 012: Train Loss: 0.8347 (TP, FP, TN, FN)=(0, 0, 6994, 4032), Val Loss: 0.9825 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 013: Train Loss: 0.7108 (TP, FP, TN, FN)=(0, 0, 7125, 4255), Val Loss: 0.8265 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 014: Train Loss: 0.5980 (TP, FP, TN, FN)=(1, 3, 6931, 3989), Val Loss: 0.6703 (TP, FP, TN, FN)=(1, 0, 746, 443), f1=0.0045
Epoch 015: Train Loss: 0.5184 (TP, FP, TN, FN)=(9, 23, 6958, 4012), Val Loss: 0.5624 (TP, FP, TN, FN)=(3, 1, 745, 441), f1=0.0134
Epoch 016: Train Loss: 0.5192 (TP, FP, TN, FN)=(81, 211, 6740, 3911), Val Loss: 0.5410 (TP, FP, TN, FN)=(9, 18, 728, 435), f1=0.0382
Epoch 017: Train Loss: 0.5698 (TP, FP, TN, FN)=(358, 874, 6239, 3659), Val Loss: 0.5817 (TP, FP, TN, FN)=(36, 82, 664, 408), f1=0.1281
Epoch 018: Train Loss: 0.6088 (TP, FP, TN, FN)=(615, 1438, 5715, 3430), Val Loss: 0.6172 (TP, FP, TN, FN)=(67, 143, 603, 377), f1=0.2049
Epoch 019: Train Loss: 0.5991 (TP, FP, TN, FN)=(550, 1195, 5854, 3700), Val Loss: 0.6096 (TP, FP, TN, FN)=(59, 121, 625, 385), f1=0.1891
Epoch 020: Train Loss: 0.5609 (TP, FP, TN, FN)=(256, 567, 6406, 3744), Val Loss: 0.5770 (TP, FP, TN, FN)=(25, 50, 696, 419), f1=0.0963
Epoch 021: Train Loss: 0.5223 (TP, FP, TN, FN)=(84, 151, 6991, 4155), Val Loss: 0.5445 (TP, FP, TN, FN)=(7, 10, 736, 437), f1=0.0304
Epoch 022: Train Loss: 0.5023 (TP, FP, TN, FN)=(26, 33, 6913, 3980), Val Loss: 0.5390 (TP, FP, TN, FN)=(2, 3, 743, 442), f1=0.0089
Epoch 023: Train Loss: 0.4975 (TP, FP, TN, FN)=(5, 7, 6992, 4027), Val Loss: 0.5600 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 024: Train Loss: 0.5174 (TP, FP, TN, FN)=(1, 1, 7132, 4290), Val Loss: 0.5868 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 025: Train Loss: 0.5234 (TP, FP, TN, FN)=(1, 0, 6892, 3993), Val Loss: 0.6103 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 026: Train Loss: 0.5254 (TP, FP, TN, FN)=(0, 0, 6980, 4020), Val Loss: 0.6214 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 027: Train Loss: 0.5277 (TP, FP, TN, FN)=(0, 0, 7065, 4027), Val Loss: 0.6126 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 028: Train Loss: 0.5236 (TP, FP, TN, FN)=(0, 0, 6930, 3997), Val Loss: 0.6022 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 029: Train Loss: 0.5113 (TP, FP, TN, FN)=(0, 0, 6925, 3993), Val Loss: 0.5881 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 030: Train Loss: 0.5095 (TP, FP, TN, FN)=(0, 0, 7167, 4320), Val Loss: 0.5762 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 031: Train Loss: 0.5018 (TP, FP, TN, FN)=(1, 0, 6952, 3998), Val Loss: 0.5741 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 032: Train Loss: 0.4958 (TP, FP, TN, FN)=(1, 0, 7054, 4222), Val Loss: 0.5646 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 033: Train Loss: 0.4957 (TP, FP, TN, FN)=(3, 0, 7072, 4236), Val Loss: 0.5556 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 034: Train Loss: 0.4967 (TP, FP, TN, FN)=(8, 2, 6903, 3975), Val Loss: 0.5506 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 035: Train Loss: 0.4976 (TP, FP, TN, FN)=(8, 5, 7068, 4225), Val Loss: 0.5497 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
Epoch 036: Train Loss: 0.4973 (TP, FP, TN, FN)=(9, 8, 6982, 4034), Val Loss: 0.5445 (TP, FP, TN, FN)=(1, 2, 744, 443), f1=0.0045
Epoch 037: Train Loss: 0.5011 (TP, FP, TN, FN)=(10, 9, 6937, 3991), Val Loss: 0.5420 (TP, FP, TN, FN)=(1, 2, 744, 443), f1=0.0045
Epoch 038: Train Loss: 0.4995 (TP, FP, TN, FN)=(10, 8, 7051, 4237), Val Loss: 0.5399 (TP, FP, TN, FN)=(1, 2, 744, 443), f1=0.0045
Epoch 039: Train Loss: 0.4992 (TP, FP, TN, FN)=(10, 6, 7055, 4005), Val Loss: 0.5378 (TP, FP, TN, FN)=(1, 1, 745, 443), f1=0.0045
Epoch 040: Train Loss: 0.4938 (TP, FP, TN, FN)=(8, 5, 6974, 3995), Val Loss: 0.5353 (TP, FP, TN, FN)=(1, 1, 745, 443), f1=0.0045
Epoch 041: Train Loss: 0.4891 (TP, FP, TN, FN)=(7, 3, 6943, 3996), Val Loss: 0.5336 (TP, FP, TN, FN)=(0, 1, 745, 444), f1=0.0000
