Epoch 001: Train Loss: 2.1473 (TP, FP, TN, FN)=(3569, 6076, 781, 407), Val Loss: 2.0247 (TP, FP, TN, FN)=(395, 655, 91, 49), f1=0.5288
Epoch 002: Train Loss: 6.7562 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 7.3843 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 003: Train Loss: 3.7659 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 3.9681 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 004: Train Loss: 1.1272 (TP, FP, TN, FN)=(866, 1969, 4888, 3110), Val Loss: 1.1316 (TP, FP, TN, FN)=(101, 222, 524, 343), f1=0.2634
Epoch 005: Train Loss: 2.1865 (TP, FP, TN, FN)=(3976, 6854, 3, 0), Val Loss: 2.1350 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 006: Train Loss: 2.4802 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 2.4472 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 007: Train Loss: 1.9431 (TP, FP, TN, FN)=(3976, 6852, 5, 0), Val Loss: 1.9121 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 008: Train Loss: 1.2800 (TP, FP, TN, FN)=(3251, 5614, 1243, 725), Val Loss: 1.2166 (TP, FP, TN, FN)=(351, 622, 124, 93), f1=0.4954
Epoch 009: Train Loss: 1.0983 (TP, FP, TN, FN)=(790, 1896, 4961, 3186), Val Loss: 0.9844 (TP, FP, TN, FN)=(93, 220, 526, 351), f1=0.2457
Epoch 010: Train Loss: 1.2688 (TP, FP, TN, FN)=(254, 661, 6196, 3722), Val Loss: 1.2048 (TP, FP, TN, FN)=(32, 70, 676, 412), f1=0.1172
Epoch 011: Train Loss: 1.3121 (TP, FP, TN, FN)=(69, 171, 6686, 3907), Val Loss: 1.2837 (TP, FP, TN, FN)=(8, 16, 730, 436), f1=0.0342
Epoch 012: Train Loss: 1.1650 (TP, FP, TN, FN)=(30, 96, 6761, 3946), Val Loss: 1.1836 (TP, FP, TN, FN)=(3, 9, 737, 441), f1=0.0132
Epoch 013: Train Loss: 0.9518 (TP, FP, TN, FN)=(43, 128, 6729, 3933), Val Loss: 0.9709 (TP, FP, TN, FN)=(9, 9, 737, 435), f1=0.0390
Epoch 014: Train Loss: 0.7862 (TP, FP, TN, FN)=(209, 489, 6368, 3767), Val Loss: 0.8003 (TP, FP, TN, FN)=(26, 46, 700, 418), f1=0.1008
Epoch 015: Train Loss: 0.7200 (TP, FP, TN, FN)=(938, 2485, 4372, 3038), Val Loss: 0.7172 (TP, FP, TN, FN)=(100, 254, 492, 344), f1=0.2506
Epoch 016: Train Loss: 0.7358 (TP, FP, TN, FN)=(3001, 5702, 1155, 975), Val Loss: 0.7413 (TP, FP, TN, FN)=(332, 609, 137, 112), f1=0.4794
Epoch 017: Train Loss: 0.7470 (TP, FP, TN, FN)=(3745, 6611, 246, 231), Val Loss: 0.7657 (TP, FP, TN, FN)=(413, 713, 33, 31), f1=0.5261
Epoch 018: Train Loss: 0.7391 (TP, FP, TN, FN)=(3764, 6530, 327, 212), Val Loss: 0.8294 (TP, FP, TN, FN)=(414, 693, 53, 30), f1=0.5338
Epoch 019: Train Loss: 0.7412 (TP, FP, TN, FN)=(3360, 5627, 1230, 616), Val Loss: 0.9164 (TP, FP, TN, FN)=(365, 584, 162, 79), f1=0.5240
Epoch 020: Train Loss: 0.7536 (TP, FP, TN, FN)=(2589, 4157, 2700, 1387), Val Loss: 0.9735 (TP, FP, TN, FN)=(281, 425, 321, 163), f1=0.4887
Epoch 021: Train Loss: 0.7547 (TP, FP, TN, FN)=(2168, 3407, 3450, 1808), Val Loss: 0.9753 (TP, FP, TN, FN)=(233, 350, 396, 211), f1=0.4537
Epoch 022: Train Loss: 0.7372 (TP, FP, TN, FN)=(2240, 3666, 3191, 1736), Val Loss: 0.9160 (TP, FP, TN, FN)=(248, 375, 371, 196), f1=0.4649
Epoch 023: Train Loss: 0.7143 (TP, FP, TN, FN)=(2755, 4793, 2064, 1221), Val Loss: 0.8212 (TP, FP, TN, FN)=(302, 507, 239, 142), f1=0.4820
Epoch 024: Train Loss: 0.7011 (TP, FP, TN, FN)=(3086, 5633, 1224, 890), Val Loss: 0.7392 (TP, FP, TN, FN)=(337, 586, 160, 107), f1=0.4931
Epoch 025: Train Loss: 0.7012 (TP, FP, TN, FN)=(2945, 5638, 1219, 1031), Val Loss: 0.7113 (TP, FP, TN, FN)=(335, 593, 153, 109), f1=0.4883
Epoch 026: Train Loss: 0.7025 (TP, FP, TN, FN)=(2339, 4924, 1933, 1637), Val Loss: 0.7111 (TP, FP, TN, FN)=(265, 526, 220, 179), f1=0.4291
Epoch 027: Train Loss: 0.6979 (TP, FP, TN, FN)=(1548, 3675, 3182, 2428), Val Loss: 0.7093 (TP, FP, TN, FN)=(171, 395, 351, 273), f1=0.3386
Epoch 028: Train Loss: 0.6949 (TP, FP, TN, FN)=(785, 1993, 4864, 3191), Val Loss: 0.7144 (TP, FP, TN, FN)=(91, 216, 530, 353), f1=0.2423
Epoch 029: Train Loss: 0.6980 (TP, FP, TN, FN)=(285, 672, 6185, 3691), Val Loss: 0.7269 (TP, FP, TN, FN)=(32, 72, 674, 412), f1=0.1168
Epoch 030: Train Loss: 0.7032 (TP, FP, TN, FN)=(119, 317, 6540, 3857), Val Loss: 0.7368 (TP, FP, TN, FN)=(15, 32, 714, 429), f1=0.0611
Epoch 031: Train Loss: 0.7043 (TP, FP, TN, FN)=(104, 302, 6555, 3872), Val Loss: 0.7340 (TP, FP, TN, FN)=(13, 30, 716, 431), f1=0.0534
Epoch 032: Train Loss: 0.7006 (TP, FP, TN, FN)=(179, 455, 6402, 3797), Val Loss: 0.7197 (TP, FP, TN, FN)=(21, 49, 697, 423), f1=0.0817
Epoch 033: Train Loss: 0.6966 (TP, FP, TN, FN)=(393, 908, 5949, 3583), Val Loss: 0.7043 (TP, FP, TN, FN)=(46, 96, 650, 398), f1=0.1570
Epoch 034: Train Loss: 0.6959 (TP, FP, TN, FN)=(667, 1675, 5182, 3309), Val Loss: 0.6965 (TP, FP, TN, FN)=(83, 199, 547, 361), f1=0.2287
Epoch 035: Train Loss: 0.6965 (TP, FP, TN, FN)=(969, 2407, 4450, 3007), Val Loss: 0.6960 (TP, FP, TN, FN)=(114, 257, 489, 330), f1=0.2798
Epoch 036: Train Loss: 0.6957 (TP, FP, TN, FN)=(1121, 2729, 4128, 2855), Val Loss: 0.6969 (TP, FP, TN, FN)=(135, 299, 447, 309), f1=0.3075
Epoch 037: Train Loss: 0.6933 (TP, FP, TN, FN)=(1077, 2596, 4261, 2899), Val Loss: 0.6965 (TP, FP, TN, FN)=(132, 292, 454, 312), f1=0.3041
Epoch 038: Train Loss: 0.6913 (TP, FP, TN, FN)=(899, 2113, 4744, 3077), Val Loss: 0.6969 (TP, FP, TN, FN)=(107, 230, 516, 337), f1=0.2740
Epoch 039: Train Loss: 0.6907 (TP, FP, TN, FN)=(653, 1527, 5330, 3323), Val Loss: 0.7002 (TP, FP, TN, FN)=(73, 160, 586, 371), f1=0.2157
Epoch 040: Train Loss: 0.6911 (TP, FP, TN, FN)=(512, 1189, 5668, 3464), Val Loss: 0.7054 (TP, FP, TN, FN)=(56, 120, 626, 388), f1=0.1806
Epoch 041: Train Loss: 0.6915 (TP, FP, TN, FN)=(458, 1088, 5769, 3518), Val Loss: 0.7095 (TP, FP, TN, FN)=(50, 104, 642, 394), f1=0.1672
Epoch 042: Train Loss: 0.6909 (TP, FP, TN, FN)=(497, 1177, 5680, 3479), Val Loss: 0.7103 (TP, FP, TN, FN)=(56, 122, 624, 388), f1=0.1801
Epoch 043: Train Loss: 0.6897 (TP, FP, TN, FN)=(611, 1511, 5346, 3365), Val Loss: 0.7080 (TP, FP, TN, FN)=(66, 152, 594, 378), f1=0.1994
Epoch 044: Train Loss: 0.6888 (TP, FP, TN, FN)=(861, 2109, 4748, 3115), Val Loss: 0.7052 (TP, FP, TN, FN)=(102, 226, 520, 342), f1=0.2642
Epoch 045: Train Loss: 0.6885 (TP, FP, TN, FN)=(1143, 2656, 4201, 2833), Val Loss: 0.7034 (TP, FP, TN, FN)=(135, 289, 457, 309), f1=0.3111
Epoch 046: Train Loss: 0.6883 (TP, FP, TN, FN)=(1313, 3027, 3830, 2663), Val Loss: 0.7028 (TP, FP, TN, FN)=(149, 329, 417, 295), f1=0.3232
Epoch 047: Train Loss: 0.6877 (TP, FP, TN, FN)=(1339, 3069, 3788, 2637), Val Loss: 0.7023 (TP, FP, TN, FN)=(147, 336, 410, 297), f1=0.3172
Epoch 048: Train Loss: 0.6868 (TP, FP, TN, FN)=(1221, 2892, 3965, 2755), Val Loss: 0.7024 (TP, FP, TN, FN)=(131, 312, 434, 313), f1=0.2954
Epoch 049: Train Loss: 0.6860 (TP, FP, TN, FN)=(1045, 2578, 4279, 2931), Val Loss: 0.7037 (TP, FP, TN, FN)=(114, 282, 464, 330), f1=0.2714
Epoch 050: Train Loss: 0.6854 (TP, FP, TN, FN)=(908, 2270, 4587, 3068), Val Loss: 0.7055 (TP, FP, TN, FN)=(99, 250, 496, 345), f1=0.2497
Epoch 051: Train Loss: 0.6851 (TP, FP, TN, FN)=(817, 2051, 4806, 3159), Val Loss: 0.7067 (TP, FP, TN, FN)=(90, 227, 519, 354), f1=0.2365
Epoch 052: Train Loss: 0.6847 (TP, FP, TN, FN)=(800, 2008, 4849, 3176), Val Loss: 0.7057 (TP, FP, TN, FN)=(86, 218, 528, 358), f1=0.2299
Epoch 053: Train Loss: 0.6842 (TP, FP, TN, FN)=(840, 2127, 4730, 3136), Val Loss: 0.7029 (TP, FP, TN, FN)=(91, 237, 509, 353), f1=0.2358
Epoch 054: Train Loss: 0.6837 (TP, FP, TN, FN)=(941, 2305, 4552, 3035), Val Loss: 0.6999 (TP, FP, TN, FN)=(99, 260, 486, 345), f1=0.2466
Epoch 055: Train Loss: 0.6836 (TP, FP, TN, FN)=(1015, 2491, 4366, 2961), Val Loss: 0.6987 (TP, FP, TN, FN)=(110, 270, 476, 334), f1=0.2670
Epoch 056: Train Loss: 0.6836 (TP, FP, TN, FN)=(1033, 2565, 4292, 2943), Val Loss: 0.6983 (TP, FP, TN, FN)=(113, 280, 466, 331), f1=0.2700
Epoch 057: Train Loss: 0.6834 (TP, FP, TN, FN)=(1013, 2504, 4353, 2963), Val Loss: 0.6993 (TP, FP, TN, FN)=(110, 272, 474, 334), f1=0.2663
Epoch 058: Train Loss: 0.6830 (TP, FP, TN, FN)=(953, 2370, 4487, 3023), Val Loss: 0.7013 (TP, FP, TN, FN)=(105, 262, 484, 339), f1=0.2589
Epoch 059: Train Loss: 0.6828 (TP, FP, TN, FN)=(905, 2211, 4646, 3071), Val Loss: 0.7035 (TP, FP, TN, FN)=(97, 248, 498, 347), f1=0.2459
Epoch 060: Train Loss: 0.6825 (TP, FP, TN, FN)=(878, 2153, 4704, 3098), Val Loss: 0.7048 (TP, FP, TN, FN)=(95, 242, 504, 349), f1=0.2433
Epoch 061: Train Loss: 0.6822 (TP, FP, TN, FN)=(914, 2235, 4622, 3062), Val Loss: 0.7046 (TP, FP, TN, FN)=(100, 251, 495, 344), f1=0.2516
Epoch 062: Train Loss: 0.6817 (TP, FP, TN, FN)=(1003, 2416, 4441, 2973), Val Loss: 0.7026 (TP, FP, TN, FN)=(111, 270, 476, 333), f1=0.2691
Epoch 063: Train Loss: 0.6811 (TP, FP, TN, FN)=(1111, 2677, 4180, 2865), Val Loss: 0.6999 (TP, FP, TN, FN)=(124, 288, 458, 320), f1=0.2897
Epoch 064: Train Loss: 0.6807 (TP, FP, TN, FN)=(1184, 2863, 3994, 2792), Val Loss: 0.6973 (TP, FP, TN, FN)=(132, 310, 436, 312), f1=0.2980
Epoch 065: Train Loss: 0.6800 (TP, FP, TN, FN)=(1253, 2982, 3875, 2723), Val Loss: 0.6961 (TP, FP, TN, FN)=(140, 322, 424, 304), f1=0.3091
Epoch 066: Train Loss: 0.6792 (TP, FP, TN, FN)=(1362, 3151, 3706, 2614), Val Loss: 0.6958 (TP, FP, TN, FN)=(151, 332, 414, 293), f1=0.3258
Epoch 067: Train Loss: 0.6784 (TP, FP, TN, FN)=(1182, 2844, 4013, 2794), Val Loss: 0.6952 (TP, FP, TN, FN)=(135, 306, 440, 309), f1=0.3051
Epoch 068: Train Loss: 0.6779 (TP, FP, TN, FN)=(928, 2270, 4587, 3048), Val Loss: 0.6950 (TP, FP, TN, FN)=(95, 254, 492, 349), f1=0.2396
Epoch 069: Train Loss: 0.6775 (TP, FP, TN, FN)=(813, 2002, 4855, 3163), Val Loss: 0.6945 (TP, FP, TN, FN)=(85, 231, 515, 359), f1=0.2237
Epoch 070: Train Loss: 0.6767 (TP, FP, TN, FN)=(901, 2238, 4619, 3075), Val Loss: 0.6931 (TP, FP, TN, FN)=(92, 244, 502, 352), f1=0.2359
Epoch 071: Train Loss: 0.6762 (TP, FP, TN, FN)=(1129, 2628, 4229, 2847), Val Loss: 0.6920 (TP, FP, TN, FN)=(127, 284, 462, 317), f1=0.2971
Epoch 072: Train Loss: 0.6755 (TP, FP, TN, FN)=(1132, 2648, 4209, 2844), Val Loss: 0.6910 (TP, FP, TN, FN)=(131, 290, 456, 313), f1=0.3029
Epoch 073: Train Loss: 0.6748 (TP, FP, TN, FN)=(1001, 2385, 4472, 2975), Val Loss: 0.6901 (TP, FP, TN, FN)=(112, 269, 477, 332), f1=0.2715
Epoch 074: Train Loss: 0.6744 (TP, FP, TN, FN)=(949, 2271, 4586, 3027), Val Loss: 0.6896 (TP, FP, TN, FN)=(105, 261, 485, 339), f1=0.2593
Epoch 075: Train Loss: 0.6736 (TP, FP, TN, FN)=(1119, 2590, 4267, 2857), Val Loss: 0.6895 (TP, FP, TN, FN)=(128, 285, 461, 316), f1=0.2987
Epoch 076: Train Loss: 0.6731 (TP, FP, TN, FN)=(1306, 2907, 3950, 2670), Val Loss: 0.6900 (TP, FP, TN, FN)=(151, 315, 431, 293), f1=0.3319
Epoch 077: Train Loss: 0.6724 (TP, FP, TN, FN)=(1215, 2741, 4116, 2761), Val Loss: 0.6900 (TP, FP, TN, FN)=(139, 306, 440, 305), f1=0.3127
Epoch 078: Train Loss: 0.6720 (TP, FP, TN, FN)=(1065, 2485, 4372, 2911), Val Loss: 0.6899 (TP, FP, TN, FN)=(125, 268, 478, 319), f1=0.2987
Epoch 079: Train Loss: 0.6714 (TP, FP, TN, FN)=(1142, 2602, 4255, 2834), Val Loss: 0.6901 (TP, FP, TN, FN)=(133, 284, 462, 311), f1=0.3089
Epoch 080: Train Loss: 0.6710 (TP, FP, TN, FN)=(1356, 2945, 3912, 2620), Val Loss: 0.6899 (TP, FP, TN, FN)=(154, 321, 425, 290), f1=0.3351
Epoch 081: Train Loss: 0.6704 (TP, FP, TN, FN)=(1249, 2780, 4077, 2727), Val Loss: 0.6884 (TP, FP, TN, FN)=(140, 303, 443, 304), f1=0.3157
Epoch 082: Train Loss: 0.6700 (TP, FP, TN, FN)=(1105, 2528, 4329, 2871), Val Loss: 0.6867 (TP, FP, TN, FN)=(132, 273, 473, 312), f1=0.3110
Epoch 083: Train Loss: 0.6695 (TP, FP, TN, FN)=(1172, 2631, 4226, 2804), Val Loss: 0.6857 (TP, FP, TN, FN)=(136, 286, 460, 308), f1=0.3141
Epoch 084: Train Loss: 0.6691 (TP, FP, TN, FN)=(1349, 2877, 3980, 2627), Val Loss: 0.6855 (TP, FP, TN, FN)=(156, 310, 436, 288), f1=0.3429
Epoch 085: Train Loss: 0.6685 (TP, FP, TN, FN)=(1220, 2669, 4188, 2756), Val Loss: 0.6846 (TP, FP, TN, FN)=(141, 286, 460, 303), f1=0.3238
Epoch 086: Train Loss: 0.6682 (TP, FP, TN, FN)=(1102, 2456, 4401, 2874), Val Loss: 0.6843 (TP, FP, TN, FN)=(123, 263, 483, 321), f1=0.2964
Epoch 087: Train Loss: 0.6678 (TP, FP, TN, FN)=(1214, 2613, 4244, 2762), Val Loss: 0.6846 (TP, FP, TN, FN)=(137, 274, 472, 307), f1=0.3205
Epoch 088: Train Loss: 0.6676 (TP, FP, TN, FN)=(1358, 2854, 4003, 2618), Val Loss: 0.6846 (TP, FP, TN, FN)=(153, 303, 443, 291), f1=0.3400
Epoch 089: Train Loss: 0.6669 (TP, FP, TN, FN)=(1260, 2682, 4175, 2716), Val Loss: 0.6837 (TP, FP, TN, FN)=(142, 287, 459, 302), f1=0.3253
