Epoch 001: Train Loss: 1.9177 (TP, FP, TN, FN)=(301, 291, 6566, 3675), Val Loss: 2.5466 (TP, FP, TN, FN)=(24, 44, 702, 420)
Epoch 002: Train Loss: 10.2706 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 10.5727 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 003: Train Loss: 6.6239 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 6.8763 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 004: Train Loss: 2.3127 (TP, FP, TN, FN)=(3969, 6843, 14, 7), Val Loss: 2.4757 (TP, FP, TN, FN)=(442, 744, 2, 2)
Epoch 005: Train Loss: 1.7241 (TP, FP, TN, FN)=(79, 119, 6738, 3897), Val Loss: 2.0402 (TP, FP, TN, FN)=(6, 18, 728, 438)
Epoch 006: Train Loss: 2.8341 (TP, FP, TN, FN)=(1, 0, 6857, 3975), Val Loss: 3.2218 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 007: Train Loss: 2.4893 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 2.8399 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 008: Train Loss: 1.5179 (TP, FP, TN, FN)=(3, 11, 6846, 3973), Val Loss: 1.8063 (TP, FP, TN, FN)=(0, 2, 744, 444)
Epoch 009: Train Loss: 0.7795 (TP, FP, TN, FN)=(765, 1325, 5532, 3211), Val Loss: 0.9840 (TP, FP, TN, FN)=(89, 156, 590, 355)
Epoch 010: Train Loss: 0.9494 (TP, FP, TN, FN)=(3949, 6802, 55, 27), Val Loss: 0.9919 (TP, FP, TN, FN)=(440, 737, 9, 4)
Epoch 011: Train Loss: 1.2071 (TP, FP, TN, FN)=(3975, 6855, 2, 1), Val Loss: 1.2272 (TP, FP, TN, FN)=(443, 746, 0, 1)
Epoch 012: Train Loss: 1.1640 (TP, FP, TN, FN)=(3975, 6856, 1, 1), Val Loss: 1.1781 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 013: Train Loss: 0.9520 (TP, FP, TN, FN)=(3975, 6847, 10, 1), Val Loss: 0.9678 (TP, FP, TN, FN)=(442, 745, 1, 2)
Epoch 014: Train Loss: 0.7570 (TP, FP, TN, FN)=(3249, 5857, 1000, 727), Val Loss: 0.7768 (TP, FP, TN, FN)=(363, 642, 104, 81)
Epoch 015: Train Loss: 0.7035 (TP, FP, TN, FN)=(1288, 2625, 4232, 2688), Val Loss: 0.7422 (TP, FP, TN, FN)=(149, 280, 466, 295)
Epoch 016: Train Loss: 0.7512 (TP, FP, TN, FN)=(383, 748, 6109, 3593), Val Loss: 0.8140 (TP, FP, TN, FN)=(40, 88, 658, 404)
Epoch 017: Train Loss: 0.8093 (TP, FP, TN, FN)=(141, 262, 6595, 3835), Val Loss: 0.8873 (TP, FP, TN, FN)=(16, 28, 718, 428)
Epoch 018: Train Loss: 0.8234 (TP, FP, TN, FN)=(81, 156, 6701, 3895), Val Loss: 0.9056 (TP, FP, TN, FN)=(7, 14, 732, 437)
Epoch 019: Train Loss: 0.7953 (TP, FP, TN, FN)=(89, 159, 6698, 3887), Val Loss: 0.8718 (TP, FP, TN, FN)=(7, 16, 730, 437)
Epoch 020: Train Loss: 0.7488 (TP, FP, TN, FN)=(164, 297, 6560, 3812), Val Loss: 0.8124 (TP, FP, TN, FN)=(19, 26, 720, 425)
Epoch 021: Train Loss: 0.7077 (TP, FP, TN, FN)=(439, 819, 6038, 3537), Val Loss: 0.7506 (TP, FP, TN, FN)=(51, 92, 654, 393)
Epoch 022: Train Loss: 0.6857 (TP, FP, TN, FN)=(1266, 2294, 4563, 2710), Val Loss: 0.7012 (TP, FP, TN, FN)=(145, 236, 510, 299)
Epoch 023: Train Loss: 0.6878 (TP, FP, TN, FN)=(2599, 4521, 2336, 1377), Val Loss: 0.6926 (TP, FP, TN, FN)=(278, 472, 274, 166)
Epoch 024: Train Loss: 0.7032 (TP, FP, TN, FN)=(3483, 6021, 836, 493), Val Loss: 0.7157 (TP, FP, TN, FN)=(401, 654, 92, 43)
Epoch 025: Train Loss: 0.7174 (TP, FP, TN, FN)=(3823, 6558, 299, 153), Val Loss: 0.7274 (TP, FP, TN, FN)=(427, 715, 31, 17)
Epoch 026: Train Loss: 0.7214 (TP, FP, TN, FN)=(3894, 6661, 196, 82), Val Loss: 0.7310 (TP, FP, TN, FN)=(431, 724, 22, 13)
Epoch 027: Train Loss: 0.7141 (TP, FP, TN, FN)=(3831, 6579, 278, 145), Val Loss: 0.7244 (TP, FP, TN, FN)=(428, 718, 28, 16)
Epoch 028: Train Loss: 0.7009 (TP, FP, TN, FN)=(3637, 6234, 623, 339), Val Loss: 0.7126 (TP, FP, TN, FN)=(413, 681, 65, 31)
Epoch 029: Train Loss: 0.6882 (TP, FP, TN, FN)=(3180, 5398, 1459, 796), Val Loss: 0.7019 (TP, FP, TN, FN)=(350, 565, 181, 94)
Epoch 030: Train Loss: 0.6803 (TP, FP, TN, FN)=(2345, 3968, 2889, 1631), Val Loss: 0.6970 (TP, FP, TN, FN)=(268, 412, 334, 176)
Epoch 031: Train Loss: 0.6781 (TP, FP, TN, FN)=(1431, 2410, 4447, 2545), Val Loss: 0.6991 (TP, FP, TN, FN)=(160, 250, 496, 284)
Epoch 032: Train Loss: 0.6802 (TP, FP, TN, FN)=(832, 1368, 5489, 3144), Val Loss: 0.7051 (TP, FP, TN, FN)=(97, 148, 598, 347)
Epoch 033: Train Loss: 0.6841 (TP, FP, TN, FN)=(531, 863, 5994, 3445), Val Loss: 0.7108 (TP, FP, TN, FN)=(56, 106, 640, 388)
Epoch 034: Train Loss: 0.6867 (TP, FP, TN, FN)=(401, 662, 6195, 3575), Val Loss: 0.7140 (TP, FP, TN, FN)=(40, 82, 664, 404)
