Epoch 001: Train Loss: 1.9329 (TP, FP, TN, FN)=(306, 308, 6745, 3714), Val Loss: 2.5466 (TP, FP, TN, FN)=(24, 44, 702, 420), f1=0.0938
Epoch 002: Train Loss: 10.2474 (TP, FP, TN, FN)=(3977, 6868, 0, 0), Val Loss: 10.5242 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 003: Train Loss: 6.6582 (TP, FP, TN, FN)=(3999, 6952, 0, 0), Val Loss: 6.9137 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 004: Train Loss: 2.3308 (TP, FP, TN, FN)=(4033, 7035, 16, 5), Val Loss: 2.4892 (TP, FP, TN, FN)=(443, 745, 1, 1), f1=0.5429
Epoch 005: Train Loss: 1.7039 (TP, FP, TN, FN)=(88, 132, 6836, 3951), Val Loss: 2.0212 (TP, FP, TN, FN)=(5, 20, 726, 439), f1=0.0213
Epoch 006: Train Loss: 2.8219 (TP, FP, TN, FN)=(0, 0, 6964, 4014), Val Loss: 3.1896 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 007: Train Loss: 2.4421 (TP, FP, TN, FN)=(0, 0, 6937, 3994), Val Loss: 2.7632 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 008: Train Loss: 1.4629 (TP, FP, TN, FN)=(3, 20, 6892, 3987), Val Loss: 1.7617 (TP, FP, TN, FN)=(1, 2, 744, 443), f1=0.0045
Epoch 009: Train Loss: 0.7721 (TP, FP, TN, FN)=(1098, 1889, 5102, 2929), Val Loss: 0.9672 (TP, FP, TN, FN)=(122, 218, 528, 322), f1=0.3112
Epoch 010: Train Loss: 1.0064 (TP, FP, TN, FN)=(3985, 6876, 40, 21), Val Loss: 1.0262 (TP, FP, TN, FN)=(442, 741, 5, 2), f1=0.5433
Epoch 011: Train Loss: 1.2379 (TP, FP, TN, FN)=(3999, 6923, 3, 2), Val Loss: 1.2557 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 012: Train Loss: 1.1505 (TP, FP, TN, FN)=(4014, 6956, 5, 1), Val Loss: 1.1694 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 013: Train Loss: 0.9192 (TP, FP, TN, FN)=(4247, 7043, 43, 20), Val Loss: 0.9372 (TP, FP, TN, FN)=(440, 738, 8, 4), f1=0.5425
Epoch 014: Train Loss: 0.7425 (TP, FP, TN, FN)=(3147, 5590, 1650, 1168), Val Loss: 0.7719 (TP, FP, TN, FN)=(329, 568, 178, 115), f1=0.4907
Epoch 015: Train Loss: 0.7156 (TP, FP, TN, FN)=(1074, 2142, 4903, 2924), Val Loss: 0.7797 (TP, FP, TN, FN)=(115, 236, 510, 329), f1=0.2893
Epoch 016: Train Loss: 0.7739 (TP, FP, TN, FN)=(319, 700, 6198, 3676), Val Loss: 0.8631 (TP, FP, TN, FN)=(34, 72, 674, 410), f1=0.1236
Epoch 017: Train Loss: 0.8211 (TP, FP, TN, FN)=(128, 255, 6859, 4123), Val Loss: 0.9172 (TP, FP, TN, FN)=(12, 30, 716, 432), f1=0.0494
Epoch 018: Train Loss: 0.8167 (TP, FP, TN, FN)=(83, 147, 6796, 3922), Val Loss: 0.9182 (TP, FP, TN, FN)=(7, 16, 730, 437), f1=0.0300
Epoch 019: Train Loss: 0.7889 (TP, FP, TN, FN)=(100, 172, 6825, 3958), Val Loss: 0.8768 (TP, FP, TN, FN)=(8, 21, 725, 436), f1=0.0338
Epoch 020: Train Loss: 0.7396 (TP, FP, TN, FN)=(207, 409, 6683, 3867), Val Loss: 0.8148 (TP, FP, TN, FN)=(24, 48, 698, 420), f1=0.0930
Epoch 021: Train Loss: 0.7001 (TP, FP, TN, FN)=(588, 1206, 5907, 3476), Val Loss: 0.7570 (TP, FP, TN, FN)=(64, 127, 619, 380), f1=0.2016
Epoch 022: Train Loss: 0.6855 (TP, FP, TN, FN)=(1530, 2987, 4012, 2470), Val Loss: 0.7227 (TP, FP, TN, FN)=(162, 313, 433, 282), f1=0.3526
Epoch 023: Train Loss: 0.6940 (TP, FP, TN, FN)=(2804, 5024, 1857, 1183), Val Loss: 0.7114 (TP, FP, TN, FN)=(314, 529, 217, 130), f1=0.4880
Epoch 024: Train Loss: 0.7101 (TP, FP, TN, FN)=(3549, 6311, 706, 469), Val Loss: 0.7194 (TP, FP, TN, FN)=(405, 672, 74, 39), f1=0.5325
Epoch 025: Train Loss: 0.7238 (TP, FP, TN, FN)=(3821, 6696, 290, 180), Val Loss: 0.7300 (TP, FP, TN, FN)=(426, 713, 33, 18), f1=0.5382
Epoch 026: Train Loss: 0.7230 (TP, FP, TN, FN)=(3916, 6857, 220, 126), Val Loss: 0.7308 (TP, FP, TN, FN)=(431, 719, 27, 13), f1=0.5408
Epoch 027: Train Loss: 0.7152 (TP, FP, TN, FN)=(3812, 6606, 292, 176), Val Loss: 0.7207 (TP, FP, TN, FN)=(426, 709, 37, 18), f1=0.5396
Epoch 028: Train Loss: 0.7025 (TP, FP, TN, FN)=(3593, 6230, 665, 384), Val Loss: 0.7062 (TP, FP, TN, FN)=(408, 676, 70, 36), f1=0.5340
Epoch 029: Train Loss: 0.6892 (TP, FP, TN, FN)=(3152, 5406, 1506, 837), Val Loss: 0.6924 (TP, FP, TN, FN)=(359, 576, 170, 85), f1=0.5207
Epoch 030: Train Loss: 0.6801 (TP, FP, TN, FN)=(2339, 3957, 2967, 1671), Val Loss: 0.6855 (TP, FP, TN, FN)=(262, 418, 328, 182), f1=0.4662
Epoch 031: Train Loss: 0.6792 (TP, FP, TN, FN)=(1351, 2384, 4638, 2679), Val Loss: 0.6847 (TP, FP, TN, FN)=(155, 263, 483, 289), f1=0.3596
Epoch 032: Train Loss: 0.6809 (TP, FP, TN, FN)=(696, 1279, 5686, 3305), Val Loss: 0.6890 (TP, FP, TN, FN)=(79, 151, 595, 365), f1=0.2344
Epoch 033: Train Loss: 0.6850 (TP, FP, TN, FN)=(432, 762, 6236, 3784), Val Loss: 0.6939 (TP, FP, TN, FN)=(49, 90, 656, 395), f1=0.1681
Epoch 034: Train Loss: 0.6868 (TP, FP, TN, FN)=(325, 539, 6369, 3672), Val Loss: 0.6970 (TP, FP, TN, FN)=(34, 61, 685, 410), f1=0.1262
Epoch 035: Train Loss: 0.6853 (TP, FP, TN, FN)=(342, 546, 6672, 3917), Val Loss: 0.6962 (TP, FP, TN, FN)=(35, 56, 690, 409), f1=0.1308
Epoch 036: Train Loss: 0.6828 (TP, FP, TN, FN)=(396, 665, 6321, 3607), Val Loss: 0.6907 (TP, FP, TN, FN)=(42, 75, 671, 402), f1=0.1497
