Epoch 001: Train Loss: 7.5714 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 8.1006 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 002: Train Loss: 10.7699 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 10.6878 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 003: Train Loss: 8.0155 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 7.9719 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 004: Train Loss: 1.6515 (TP, FP, TN, FN)=(2928, 5062, 1795, 1048), Val Loss: 1.6753 (TP, FP, TN, FN)=(309, 559, 187, 135), f1=0.4710
Epoch 005: Train Loss: 4.9609 (TP, FP, TN, FN)=(0, 2, 6855, 3976), Val Loss: 5.8040 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 006: Train Loss: 6.5093 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 7.5718 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 007: Train Loss: 5.4054 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 6.3728 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 008: Train Loss: 2.9828 (TP, FP, TN, FN)=(388, 650, 6207, 3588), Val Loss: 3.6116 (TP, FP, TN, FN)=(31, 71, 675, 413), f1=0.1136
Epoch 009: Train Loss: 1.1597 (TP, FP, TN, FN)=(2569, 3886, 2971, 1407), Val Loss: 1.2668 (TP, FP, TN, FN)=(270, 439, 307, 174), f1=0.4683
Epoch 010: Train Loss: 3.0485 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 3.1214 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 011: Train Loss: 3.8501 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 3.9200 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 012: Train Loss: 3.2115 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 3.2797 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 013: Train Loss: 1.6813 (TP, FP, TN, FN)=(3975, 6856, 1, 1), Val Loss: 1.7509 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 014: Train Loss: 1.1085 (TP, FP, TN, FN)=(1681, 2446, 4411, 2295), Val Loss: 1.3212 (TP, FP, TN, FN)=(191, 268, 478, 253), f1=0.4230
Epoch 015: Train Loss: 1.9217 (TP, FP, TN, FN)=(456, 734, 6123, 3520), Val Loss: 2.3398 (TP, FP, TN, FN)=(38, 79, 667, 406), f1=0.1355
Epoch 016: Train Loss: 2.2660 (TP, FP, TN, FN)=(64, 144, 6713, 3912), Val Loss: 2.7189 (TP, FP, TN, FN)=(7, 13, 733, 437), f1=0.0302
Epoch 017: Train Loss: 1.8996 (TP, FP, TN, FN)=(101, 221, 6636, 3875), Val Loss: 2.2821 (TP, FP, TN, FN)=(9, 23, 723, 435), f1=0.0378
Epoch 018: Train Loss: 1.0983 (TP, FP, TN, FN)=(805, 1292, 5565, 3171), Val Loss: 1.3148 (TP, FP, TN, FN)=(77, 147, 599, 367), f1=0.2305
Epoch 019: Train Loss: 0.8997 (TP, FP, TN, FN)=(3594, 6044, 813, 382), Val Loss: 0.9364 (TP, FP, TN, FN)=(394, 658, 88, 50), f1=0.5267
Epoch 020: Train Loss: 1.4386 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 1.4749 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 021: Train Loss: 1.3106 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 1.3452 (TP, FP, TN, FN)=(444, 746, 0, 0), f1=0.5435
Epoch 022: Train Loss: 0.7959 (TP, FP, TN, FN)=(3278, 5801, 1056, 698), Val Loss: 0.8262 (TP, FP, TN, FN)=(362, 627, 119, 82), f1=0.5052
Epoch 023: Train Loss: 0.8903 (TP, FP, TN, FN)=(89, 320, 6537, 3887), Val Loss: 1.0127 (TP, FP, TN, FN)=(11, 37, 709, 433), f1=0.0447
Epoch 024: Train Loss: 1.1541 (TP, FP, TN, FN)=(0, 8, 6849, 3976), Val Loss: 1.3270 (TP, FP, TN, FN)=(0, 0, 746, 444), f1=0.0000
Epoch 025: Train Loss: 1.0421 (TP, FP, TN, FN)=(6, 19, 6838, 3970), Val Loss: 1.1955 (TP, FP, TN, FN)=(2, 0, 746, 442), f1=0.0090
Epoch 026: Train Loss: 0.7652 (TP, FP, TN, FN)=(544, 1329, 5528, 3432), Val Loss: 0.8443 (TP, FP, TN, FN)=(77, 148, 598, 367), f1=0.2302
Epoch 027: Train Loss: 0.8580 (TP, FP, TN, FN)=(3745, 6606, 251, 231), Val Loss: 0.8909 (TP, FP, TN, FN)=(420, 713, 33, 24), f1=0.5327
Epoch 028: Train Loss: 0.9847 (TP, FP, TN, FN)=(3947, 6814, 43, 29), Val Loss: 1.0243 (TP, FP, TN, FN)=(440, 739, 7, 4), f1=0.5422
Epoch 029: Train Loss: 0.8161 (TP, FP, TN, FN)=(3854, 6673, 184, 122), Val Loss: 0.8573 (TP, FP, TN, FN)=(429, 724, 22, 15), f1=0.5373
Epoch 030: Train Loss: 0.7204 (TP, FP, TN, FN)=(1527, 2803, 4054, 2449), Val Loss: 0.8214 (TP, FP, TN, FN)=(161, 316, 430, 283), f1=0.3496
Epoch 031: Train Loss: 0.8182 (TP, FP, TN, FN)=(90, 289, 6568, 3886), Val Loss: 0.9849 (TP, FP, TN, FN)=(14, 35, 711, 430), f1=0.0568
Epoch 032: Train Loss: 0.8616 (TP, FP, TN, FN)=(37, 113, 6744, 3939), Val Loss: 1.0503 (TP, FP, TN, FN)=(6, 16, 730, 438), f1=0.0258
Epoch 033: Train Loss: 0.7852 (TP, FP, TN, FN)=(326, 750, 6107, 3650), Val Loss: 0.9534 (TP, FP, TN, FN)=(35, 83, 663, 409), f1=0.1246
Epoch 034: Train Loss: 0.7162 (TP, FP, TN, FN)=(2124, 3468, 3389, 1852), Val Loss: 0.8327 (TP, FP, TN, FN)=(219, 391, 355, 225), f1=0.4156
Epoch 035: Train Loss: 0.7532 (TP, FP, TN, FN)=(3602, 5998, 859, 374), Val Loss: 0.8209 (TP, FP, TN, FN)=(382, 657, 89, 62), f1=0.5152
Epoch 036: Train Loss: 0.8019 (TP, FP, TN, FN)=(3911, 6660, 197, 65), Val Loss: 0.8545 (TP, FP, TN, FN)=(432, 721, 25, 12), f1=0.5410
Epoch 037: Train Loss: 0.7638 (TP, FP, TN, FN)=(3681, 6217, 640, 295), Val Loss: 0.8161 (TP, FP, TN, FN)=(400, 672, 74, 44), f1=0.5277
Epoch 038: Train Loss: 0.7062 (TP, FP, TN, FN)=(2474, 4220, 2637, 1502), Val Loss: 0.7755 (TP, FP, TN, FN)=(261, 482, 264, 183), f1=0.4398
Epoch 039: Train Loss: 0.7165 (TP, FP, TN, FN)=(875, 1608, 5249, 3101), Val Loss: 0.8098 (TP, FP, TN, FN)=(95, 189, 557, 349), f1=0.2610
Epoch 040: Train Loss: 0.7508 (TP, FP, TN, FN)=(119, 250, 6607, 3857), Val Loss: 0.8501 (TP, FP, TN, FN)=(18, 30, 716, 426), f1=0.0732
Epoch 041: Train Loss: 0.7400 (TP, FP, TN, FN)=(98, 191, 6666, 3878), Val Loss: 0.8208 (TP, FP, TN, FN)=(13, 22, 724, 431), f1=0.0543
Epoch 042: Train Loss: 0.6998 (TP, FP, TN, FN)=(494, 1091, 5766, 3482), Val Loss: 0.7454 (TP, FP, TN, FN)=(51, 140, 606, 393), f1=0.1606
Epoch 043: Train Loss: 0.6975 (TP, FP, TN, FN)=(1952, 3864, 2993, 2024), Val Loss: 0.7175 (TP, FP, TN, FN)=(217, 443, 303, 227), f1=0.3931
Epoch 044: Train Loss: 0.7298 (TP, FP, TN, FN)=(2755, 5143, 1714, 1221), Val Loss: 0.7463 (TP, FP, TN, FN)=(301, 572, 174, 143), f1=0.4571
Epoch 045: Train Loss: 0.7241 (TP, FP, TN, FN)=(2628, 4964, 1893, 1348), Val Loss: 0.7381 (TP, FP, TN, FN)=(285, 561, 185, 159), f1=0.4419
Epoch 046: Train Loss: 0.6937 (TP, FP, TN, FN)=(1490, 3097, 3760, 2486), Val Loss: 0.7062 (TP, FP, TN, FN)=(164, 364, 382, 280), f1=0.3374
Epoch 047: Train Loss: 0.6975 (TP, FP, TN, FN)=(286, 561, 6296, 3690), Val Loss: 0.7200 (TP, FP, TN, FN)=(32, 82, 664, 412), f1=0.1147
Epoch 048: Train Loss: 0.7147 (TP, FP, TN, FN)=(72, 118, 6739, 3904), Val Loss: 0.7500 (TP, FP, TN, FN)=(9, 9, 737, 435), f1=0.0390
Epoch 049: Train Loss: 0.7069 (TP, FP, TN, FN)=(154, 238, 6619, 3822), Val Loss: 0.7434 (TP, FP, TN, FN)=(16, 29, 717, 428), f1=0.0654
Epoch 050: Train Loss: 0.6876 (TP, FP, TN, FN)=(1054, 1896, 4961, 2922), Val Loss: 0.7161 (TP, FP, TN, FN)=(112, 216, 530, 332), f1=0.2902
Epoch 051: Train Loss: 0.6892 (TP, FP, TN, FN)=(2384, 4191, 2666, 1592), Val Loss: 0.7115 (TP, FP, TN, FN)=(259, 489, 257, 185), f1=0.4346
