Epoch 001: Train Loss: 4.6737 (TP, FP, TN, FN)=(3976, 6857, 0, 0), Val Loss: 4.7032 (TP, FP, TN, FN)=(444, 746, 0, 0)
Epoch 002: Train Loss: 3.1012 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 3.0020 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 003: Train Loss: 2.2799 (TP, FP, TN, FN)=(0, 0, 6857, 3976), Val Loss: 2.2570 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 004: Train Loss: 0.8123 (TP, FP, TN, FN)=(350, 495, 6362, 3626), Val Loss: 0.8226 (TP, FP, TN, FN)=(38, 55, 691, 406)
Epoch 005: Train Loss: 1.5001 (TP, FP, TN, FN)=(3810, 6668, 189, 166), Val Loss: 1.5234 (TP, FP, TN, FN)=(429, 732, 14, 15)
Epoch 006: Train Loss: 1.7134 (TP, FP, TN, FN)=(3929, 6785, 72, 47), Val Loss: 1.7372 (TP, FP, TN, FN)=(440, 744, 2, 4)
Epoch 007: Train Loss: 1.3012 (TP, FP, TN, FN)=(3865, 6731, 126, 111), Val Loss: 1.3266 (TP, FP, TN, FN)=(434, 738, 8, 10)
Epoch 008: Train Loss: 0.7738 (TP, FP, TN, FN)=(2132, 3977, 2880, 1844), Val Loss: 0.8004 (TP, FP, TN, FN)=(250, 434, 312, 194)
Epoch 009: Train Loss: 0.9097 (TP, FP, TN, FN)=(430, 630, 6227, 3546), Val Loss: 0.9364 (TP, FP, TN, FN)=(43, 68, 678, 401)
Epoch 010: Train Loss: 1.0958 (TP, FP, TN, FN)=(315, 449, 6408, 3661), Val Loss: 1.1184 (TP, FP, TN, FN)=(36, 48, 698, 408)
Epoch 011: Train Loss: 1.0669 (TP, FP, TN, FN)=(284, 406, 6451, 3692), Val Loss: 1.0876 (TP, FP, TN, FN)=(34, 44, 702, 410)
Epoch 012: Train Loss: 0.9099 (TP, FP, TN, FN)=(326, 470, 6387, 3650), Val Loss: 0.9302 (TP, FP, TN, FN)=(38, 51, 695, 406)
Epoch 013: Train Loss: 0.7374 (TP, FP, TN, FN)=(535, 792, 6065, 3441), Val Loss: 0.7530 (TP, FP, TN, FN)=(55, 88, 658, 389)
Epoch 014: Train Loss: 0.7101 (TP, FP, TN, FN)=(2360, 4405, 2452, 1616), Val Loss: 0.7238 (TP, FP, TN, FN)=(274, 481, 265, 170)
Epoch 015: Train Loss: 0.8031 (TP, FP, TN, FN)=(3291, 5986, 871, 685), Val Loss: 0.8202 (TP, FP, TN, FN)=(372, 665, 81, 72)
Epoch 016: Train Loss: 0.8364 (TP, FP, TN, FN)=(3306, 6029, 828, 670), Val Loss: 0.8513 (TP, FP, TN, FN)=(374, 665, 81, 70)
Epoch 017: Train Loss: 0.7906 (TP, FP, TN, FN)=(3035, 5641, 1216, 941), Val Loss: 0.8001 (TP, FP, TN, FN)=(346, 632, 114, 98)
Epoch 018: Train Loss: 0.7139 (TP, FP, TN, FN)=(1516, 3039, 3818, 2460), Val Loss: 0.7169 (TP, FP, TN, FN)=(178, 314, 432, 266)
Epoch 019: Train Loss: 0.7174 (TP, FP, TN, FN)=(2, 1, 6856, 3974), Val Loss: 0.7232 (TP, FP, TN, FN)=(0, 0, 746, 444)
Epoch 020: Train Loss: 0.7435 (TP, FP, TN, FN)=(76, 104, 6753, 3900), Val Loss: 0.7579 (TP, FP, TN, FN)=(10, 11, 735, 434)
Epoch 021: Train Loss: 0.7242 (TP, FP, TN, FN)=(337, 490, 6367, 3639), Val Loss: 0.7433 (TP, FP, TN, FN)=(35, 53, 693, 409)
Epoch 022: Train Loss: 0.6956 (TP, FP, TN, FN)=(838, 1309, 5548, 3138), Val Loss: 0.7146 (TP, FP, TN, FN)=(86, 144, 602, 358)
Epoch 023: Train Loss: 0.6916 (TP, FP, TN, FN)=(2270, 4120, 2737, 1706), Val Loss: 0.7091 (TP, FP, TN, FN)=(262, 449, 297, 182)
Epoch 024: Train Loss: 0.7067 (TP, FP, TN, FN)=(2925, 5309, 1548, 1051), Val Loss: 0.7257 (TP, FP, TN, FN)=(337, 585, 161, 107)
Epoch 025: Train Loss: 0.7145 (TP, FP, TN, FN)=(3050, 5553, 1304, 926), Val Loss: 0.7339 (TP, FP, TN, FN)=(346, 604, 142, 98)
Epoch 026: Train Loss: 0.7080 (TP, FP, TN, FN)=(2961, 5415, 1442, 1015), Val Loss: 0.7265 (TP, FP, TN, FN)=(340, 591, 155, 104)
Epoch 027: Train Loss: 0.6950 (TP, FP, TN, FN)=(2711, 4848, 2009, 1265), Val Loss: 0.7121 (TP, FP, TN, FN)=(314, 537, 209, 130)
Epoch 028: Train Loss: 0.6873 (TP, FP, TN, FN)=(1889, 3258, 3599, 2087), Val Loss: 0.7042 (TP, FP, TN, FN)=(214, 353, 393, 230)
Epoch 029: Train Loss: 0.6891 (TP, FP, TN, FN)=(1287, 2117, 4740, 2689), Val Loss: 0.7075 (TP, FP, TN, FN)=(146, 244, 502, 298)
Epoch 030: Train Loss: 0.6946 (TP, FP, TN, FN)=(1096, 1742, 5115, 2880), Val Loss: 0.7140 (TP, FP, TN, FN)=(118, 200, 546, 326)
Epoch 031: Train Loss: 0.6963 (TP, FP, TN, FN)=(1033, 1644, 5213, 2943), Val Loss: 0.7152 (TP, FP, TN, FN)=(107, 190, 556, 337)
Epoch 032: Train Loss: 0.6927 (TP, FP, TN, FN)=(1071, 1720, 5137, 2905), Val Loss: 0.7097 (TP, FP, TN, FN)=(115, 197, 549, 329)
Epoch 033: Train Loss: 0.6868 (TP, FP, TN, FN)=(1203, 1964, 4893, 2773), Val Loss: 0.7012 (TP, FP, TN, FN)=(134, 228, 518, 310)
Epoch 034: Train Loss: 0.6834 (TP, FP, TN, FN)=(1558, 2681, 4176, 2418), Val Loss: 0.6951 (TP, FP, TN, FN)=(174, 295, 451, 270)
Epoch 035: Train Loss: 0.6842 (TP, FP, TN, FN)=(2050, 3602, 3255, 1926), Val Loss: 0.6943 (TP, FP, TN, FN)=(226, 403, 343, 218)
Epoch 036: Train Loss: 0.6869 (TP, FP, TN, FN)=(2418, 4383, 2474, 1558), Val Loss: 0.6969 (TP, FP, TN, FN)=(275, 479, 267, 169)
Epoch 037: Train Loss: 0.6885 (TP, FP, TN, FN)=(2553, 4573, 2284, 1423), Val Loss: 0.6991 (TP, FP, TN, FN)=(296, 500, 246, 148)
Epoch 038: Train Loss: 0.6875 (TP, FP, TN, FN)=(2648, 4692, 2165, 1328), Val Loss: 0.6991 (TP, FP, TN, FN)=(300, 515, 231, 144)
Epoch 039: Train Loss: 0.6848 (TP, FP, TN, FN)=(2601, 4544, 2313, 1375), Val Loss: 0.6970 (TP, FP, TN, FN)=(291, 505, 241, 153)
Epoch 040: Train Loss: 0.6819 (TP, FP, TN, FN)=(2221, 3740, 3117, 1755), Val Loss: 0.6948 (TP, FP, TN, FN)=(239, 417, 329, 205)
Epoch 041: Train Loss: 0.6806 (TP, FP, TN, FN)=(1995, 3286, 3571, 1981), Val Loss: 0.6944 (TP, FP, TN, FN)=(208, 360, 386, 236)
Epoch 042: Train Loss: 0.6809 (TP, FP, TN, FN)=(1901, 3097, 3760, 2075), Val Loss: 0.6967 (TP, FP, TN, FN)=(201, 344, 402, 243)
Epoch 043: Train Loss: 0.6812 (TP, FP, TN, FN)=(1932, 3198, 3659, 2044), Val Loss: 0.7008 (TP, FP, TN, FN)=(207, 350, 396, 237)
Epoch 044: Train Loss: 0.6802 (TP, FP, TN, FN)=(1992, 3349, 3508, 1984), Val Loss: 0.7060 (TP, FP, TN, FN)=(215, 366, 380, 229)
Epoch 045: Train Loss: 0.6790 (TP, FP, TN, FN)=(2080, 3500, 3357, 1896), Val Loss: 0.7043 (TP, FP, TN, FN)=(218, 380, 366, 226)
