Epoch 001: Train Loss: 2.0092 (TP, FP, TN, FN)=(3951, 6873, 3, 6), Val Loss: 1.9420 (TP, FP, TN, FN)=(462, 727, 0, 1)
Epoch 002: Train Loss: 8.1879 (TP, FP, TN, FN)=(0, 0, 6876, 3957), Val Loss: 8.8491 (TP, FP, TN, FN)=(0, 0, 727, 463)
Epoch 003: Train Loss: 6.3693 (TP, FP, TN, FN)=(0, 0, 6876, 3957), Val Loss: 6.8950 (TP, FP, TN, FN)=(0, 0, 727, 463)
Epoch 004: Train Loss: 3.3790 (TP, FP, TN, FN)=(0, 0, 6876, 3957), Val Loss: 3.5942 (TP, FP, TN, FN)=(0, 0, 727, 463)
Epoch 005: Train Loss: 1.0629 (TP, FP, TN, FN)=(1344, 1672, 5204, 2613), Val Loss: 1.1328 (TP, FP, TN, FN)=(149, 173, 554, 314)
Epoch 006: Train Loss: 1.7817 (TP, FP, TN, FN)=(3956, 6871, 5, 1), Val Loss: 1.7400 (TP, FP, TN, FN)=(463, 727, 0, 0)
Epoch 007: Train Loss: 2.2482 (TP, FP, TN, FN)=(3957, 6876, 0, 0), Val Loss: 2.2404 (TP, FP, TN, FN)=(463, 727, 0, 0)
Epoch 008: Train Loss: 1.9166 (TP, FP, TN, FN)=(3950, 6873, 3, 7), Val Loss: 1.9394 (TP, FP, TN, FN)=(463, 727, 0, 0)
Epoch 009: Train Loss: 1.3313 (TP, FP, TN, FN)=(3943, 6840, 36, 14), Val Loss: 1.3479 (TP, FP, TN, FN)=(462, 725, 2, 1)
Epoch 010: Train Loss: 0.8512 (TP, FP, TN, FN)=(3766, 6455, 421, 191), Val Loss: 0.8860 (TP, FP, TN, FN)=(437, 689, 38, 26)
Epoch 011: Train Loss: 0.7527 (TP, FP, TN, FN)=(2000, 3086, 3790, 1957), Val Loss: 0.8953 (TP, FP, TN, FN)=(232, 343, 384, 231)
Epoch 012: Train Loss: 0.8320 (TP, FP, TN, FN)=(67, 107, 6769, 3890), Val Loss: 0.9492 (TP, FP, TN, FN)=(7, 10, 717, 456)
Epoch 013: Train Loss: 0.9101 (TP, FP, TN, FN)=(7, 3, 6873, 3950), Val Loss: 1.0103 (TP, FP, TN, FN)=(0, 0, 727, 463)
Epoch 014: Train Loss: 0.9180 (TP, FP, TN, FN)=(2, 1, 6875, 3955), Val Loss: 1.0022 (TP, FP, TN, FN)=(0, 0, 727, 463)
Epoch 015: Train Loss: 0.8628 (TP, FP, TN, FN)=(5, 2, 6874, 3952), Val Loss: 0.9360 (TP, FP, TN, FN)=(0, 1, 726, 463)
Epoch 016: Train Loss: 0.7886 (TP, FP, TN, FN)=(26, 55, 6821, 3931), Val Loss: 0.8449 (TP, FP, TN, FN)=(6, 11, 716, 457)
Epoch 017: Train Loss: 0.7290 (TP, FP, TN, FN)=(187, 444, 6432, 3770), Val Loss: 0.7582 (TP, FP, TN, FN)=(26, 48, 679, 437)
Epoch 018: Train Loss: 0.7076 (TP, FP, TN, FN)=(899, 1811, 5065, 3058), Val Loss: 0.7092 (TP, FP, TN, FN)=(99, 200, 527, 364)
Epoch 019: Train Loss: 0.7164 (TP, FP, TN, FN)=(2043, 3917, 2959, 1914), Val Loss: 0.7167 (TP, FP, TN, FN)=(241, 424, 303, 222)
Epoch 020: Train Loss: 0.7319 (TP, FP, TN, FN)=(2951, 5392, 1484, 1006), Val Loss: 0.7377 (TP, FP, TN, FN)=(342, 575, 152, 121)
Epoch 021: Train Loss: 0.7368 (TP, FP, TN, FN)=(3366, 5949, 927, 591), Val Loss: 0.7483 (TP, FP, TN, FN)=(383, 645, 82, 80)
Epoch 022: Train Loss: 0.7293 (TP, FP, TN, FN)=(3459, 6066, 810, 498), Val Loss: 0.7471 (TP, FP, TN, FN)=(392, 654, 73, 71)
Epoch 023: Train Loss: 0.7144 (TP, FP, TN, FN)=(3367, 5861, 1015, 590), Val Loss: 0.7441 (TP, FP, TN, FN)=(380, 638, 89, 83)
Epoch 024: Train Loss: 0.6990 (TP, FP, TN, FN)=(3039, 5239, 1637, 918), Val Loss: 0.7283 (TP, FP, TN, FN)=(339, 548, 179, 124)
Epoch 025: Train Loss: 0.6884 (TP, FP, TN, FN)=(2476, 4175, 2701, 1481), Val Loss: 0.7162 (TP, FP, TN, FN)=(273, 445, 282, 190)
Epoch 026: Train Loss: 0.6847 (TP, FP, TN, FN)=(1839, 3003, 3873, 2118), Val Loss: 0.7109 (TP, FP, TN, FN)=(205, 312, 415, 258)
Epoch 027: Train Loss: 0.6866 (TP, FP, TN, FN)=(1298, 2083, 4793, 2659), Val Loss: 0.7118 (TP, FP, TN, FN)=(144, 222, 505, 319)
Epoch 028: Train Loss: 0.6900 (TP, FP, TN, FN)=(934, 1491, 5385, 3023), Val Loss: 0.7149 (TP, FP, TN, FN)=(105, 161, 566, 358)
Epoch 029: Train Loss: 0.6926 (TP, FP, TN, FN)=(775, 1232, 5644, 3182), Val Loss: 0.7171 (TP, FP, TN, FN)=(84, 123, 604, 379)
Epoch 030: Train Loss: 0.6923 (TP, FP, TN, FN)=(730, 1169, 5707, 3227), Val Loss: 0.7167 (TP, FP, TN, FN)=(82, 121, 606, 381)
Epoch 031: Train Loss: 0.6887 (TP, FP, TN, FN)=(802, 1261, 5615, 3155), Val Loss: 0.7133 (TP, FP, TN, FN)=(89, 131, 596, 374)
Epoch 032: Train Loss: 0.6834 (TP, FP, TN, FN)=(962, 1512, 5364, 2995), Val Loss: 0.7075 (TP, FP, TN, FN)=(113, 160, 567, 350)
Epoch 033: Train Loss: 0.6783 (TP, FP, TN, FN)=(1226, 1927, 4949, 2731), Val Loss: 0.7015 (TP, FP, TN, FN)=(140, 203, 524, 323)
Epoch 034: Train Loss: 0.6748 (TP, FP, TN, FN)=(1612, 2511, 4365, 2345), Val Loss: 0.6968 (TP, FP, TN, FN)=(176, 260, 467, 287)
Epoch 035: Train Loss: 0.6730 (TP, FP, TN, FN)=(1999, 3120, 3756, 1958), Val Loss: 0.6947 (TP, FP, TN, FN)=(214, 330, 397, 249)
Epoch 036: Train Loss: 0.6724 (TP, FP, TN, FN)=(2262, 3590, 3286, 1695), Val Loss: 0.6970 (TP, FP, TN, FN)=(240, 380, 347, 223)
Epoch 037: Train Loss: 0.6722 (TP, FP, TN, FN)=(2399, 3862, 3014, 1558), Val Loss: 0.6977 (TP, FP, TN, FN)=(258, 417, 310, 205)
Epoch 038: Train Loss: 0.6714 (TP, FP, TN, FN)=(2401, 3917, 2959, 1556), Val Loss: 0.6965 (TP, FP, TN, FN)=(253, 425, 302, 210)
Epoch 039: Train Loss: 0.6698 (TP, FP, TN, FN)=(2340, 3852, 3024, 1617), Val Loss: 0.6964 (TP, FP, TN, FN)=(239, 417, 310, 224)
Epoch 040: Train Loss: 0.6677 (TP, FP, TN, FN)=(2187, 3647, 3229, 1770), Val Loss: 0.6952 (TP, FP, TN, FN)=(226, 395, 332, 237)
Epoch 041: Train Loss: 0.6654 (TP, FP, TN, FN)=(1994, 3375, 3501, 1963), Val Loss: 0.6908 (TP, FP, TN, FN)=(212, 367, 360, 251)
Epoch 042: Train Loss: 0.6636 (TP, FP, TN, FN)=(1798, 3066, 3810, 2159), Val Loss: 0.6891 (TP, FP, TN, FN)=(196, 340, 387, 267)
Epoch 043: Train Loss: 0.6627 (TP, FP, TN, FN)=(1632, 2771, 4105, 2325), Val Loss: 0.6881 (TP, FP, TN, FN)=(182, 309, 418, 281)
Epoch 044: Train Loss: 0.6620 (TP, FP, TN, FN)=(1518, 2589, 4287, 2439), Val Loss: 0.6870 (TP, FP, TN, FN)=(164, 286, 441, 299)
Epoch 045: Train Loss: 0.6610 (TP, FP, TN, FN)=(1485, 2516, 4360, 2472), Val Loss: 0.6856 (TP, FP, TN, FN)=(166, 277, 450, 297)
Epoch 046: Train Loss: 0.6596 (TP, FP, TN, FN)=(1523, 2553, 4323, 2434), Val Loss: 0.6842 (TP, FP, TN, FN)=(166, 277, 450, 297)
Epoch 047: Train Loss: 0.6581 (TP, FP, TN, FN)=(1606, 2666, 4210, 2351), Val Loss: 0.6824 (TP, FP, TN, FN)=(177, 288, 439, 286)
Epoch 048: Train Loss: 0.6568 (TP, FP, TN, FN)=(1734, 2808, 4068, 2223), Val Loss: 0.6806 (TP, FP, TN, FN)=(187, 310, 417, 276)
Epoch 049: Train Loss: 0.6560 (TP, FP, TN, FN)=(1869, 2990, 3886, 2088), Val Loss: 0.6792 (TP, FP, TN, FN)=(196, 330, 397, 267)
Epoch 050: Train Loss: 0.6552 (TP, FP, TN, FN)=(1976, 3140, 3736, 1981), Val Loss: 0.6783 (TP, FP, TN, FN)=(207, 345, 382, 256)
Epoch 051: Train Loss: 0.6543 (TP, FP, TN, FN)=(2036, 3207, 3669, 1921), Val Loss: 0.6775 (TP, FP, TN, FN)=(217, 353, 374, 246)
Epoch 052: Train Loss: 0.6532 (TP, FP, TN, FN)=(2051, 3219, 3657, 1906), Val Loss: 0.6771 (TP, FP, TN, FN)=(221, 356, 371, 242)
Epoch 053: Train Loss: 0.6520 (TP, FP, TN, FN)=(2027, 3178, 3698, 1930), Val Loss: 0.6766 (TP, FP, TN, FN)=(218, 348, 379, 245)
Epoch 054: Train Loss: 0.6506 (TP, FP, TN, FN)=(1956, 3087, 3789, 2001), Val Loss: 0.6763 (TP, FP, TN, FN)=(207, 340, 387, 256)
Epoch 055: Train Loss: 0.6492 (TP, FP, TN, FN)=(1877, 2952, 3924, 2080), Val Loss: 0.6759 (TP, FP, TN, FN)=(195, 331, 396, 268)
Epoch 056: Train Loss: 0.6480 (TP, FP, TN, FN)=(1791, 2838, 4038, 2166), Val Loss: 0.6755 (TP, FP, TN, FN)=(188, 318, 409, 275)
Epoch 057: Train Loss: 0.6467 (TP, FP, TN, FN)=(1753, 2776, 4100, 2204), Val Loss: 0.6752 (TP, FP, TN, FN)=(186, 307, 420, 277)
Epoch 058: Train Loss: 0.6454 (TP, FP, TN, FN)=(1716, 2751, 4125, 2241), Val Loss: 0.6747 (TP, FP, TN, FN)=(182, 304, 423, 281)
Epoch 059: Train Loss: 0.6442 (TP, FP, TN, FN)=(1730, 2768, 4108, 2227), Val Loss: 0.6742 (TP, FP, TN, FN)=(184, 309, 418, 279)
Epoch 060: Train Loss: 0.6428 (TP, FP, TN, FN)=(1774, 2822, 4054, 2183), Val Loss: 0.6737 (TP, FP, TN, FN)=(189, 317, 410, 274)
Epoch 061: Train Loss: 0.6414 (TP, FP, TN, FN)=(1839, 2908, 3968, 2118), Val Loss: 0.6734 (TP, FP, TN, FN)=(196, 323, 404, 267)
Epoch 062: Train Loss: 0.6402 (TP, FP, TN, FN)=(1894, 2972, 3904, 2063), Val Loss: 0.6735 (TP, FP, TN, FN)=(201, 332, 395, 262)
Epoch 063: Train Loss: 0.6388 (TP, FP, TN, FN)=(1889, 2957, 3919, 2068), Val Loss: 0.6754 (TP, FP, TN, FN)=(198, 336, 391, 265)
Epoch 064: Train Loss: 0.6374 (TP, FP, TN, FN)=(1849, 2858, 4018, 2108), Val Loss: 0.6743 (TP, FP, TN, FN)=(196, 317, 410, 267)
Epoch 065: Train Loss: 0.6359 (TP, FP, TN, FN)=(1812, 2795, 4081, 2145), Val Loss: 0.6743 (TP, FP, TN, FN)=(192, 309, 418, 271)
Epoch 066: Train Loss: 0.6344 (TP, FP, TN, FN)=(1813, 2808, 4068, 2144), Val Loss: 0.6748 (TP, FP, TN, FN)=(194, 312, 415, 269)
Epoch 067: Train Loss: 0.6328 (TP, FP, TN, FN)=(1863, 2861, 4015, 2094), Val Loss: 0.6726 (TP, FP, TN, FN)=(201, 318, 409, 262)
Epoch 068: Train Loss: 0.6315 (TP, FP, TN, FN)=(1917, 2953, 3923, 2040), Val Loss: 0.6722 (TP, FP, TN, FN)=(206, 332, 395, 257)
Epoch 069: Train Loss: 0.6299 (TP, FP, TN, FN)=(1929, 2978, 3898, 2028), Val Loss: 0.6726 (TP, FP, TN, FN)=(208, 334, 393, 255)
Epoch 070: Train Loss: 0.6282 (TP, FP, TN, FN)=(1899, 2930, 3946, 2058), Val Loss: 0.6730 (TP, FP, TN, FN)=(205, 332, 395, 258)
Epoch 071: Train Loss: 0.6266 (TP, FP, TN, FN)=(1856, 2862, 4014, 2101), Val Loss: 0.6721 (TP, FP, TN, FN)=(200, 319, 408, 263)
Epoch 072: Train Loss: 0.6251 (TP, FP, TN, FN)=(1858, 2858, 4018, 2099), Val Loss: 0.6717 (TP, FP, TN, FN)=(199, 322, 405, 264)
Epoch 073: Train Loss: 0.6235 (TP, FP, TN, FN)=(1887, 2914, 3962, 2070), Val Loss: 0.6709 (TP, FP, TN, FN)=(206, 323, 404, 257)
Epoch 074: Train Loss: 0.6220 (TP, FP, TN, FN)=(1925, 2956, 3920, 2032), Val Loss: 0.6705 (TP, FP, TN, FN)=(210, 333, 394, 253)
Epoch 075: Train Loss: 0.6204 (TP, FP, TN, FN)=(1910, 2925, 3951, 2047), Val Loss: 0.6703 (TP, FP, TN, FN)=(210, 332, 395, 253)
Epoch 076: Train Loss: 0.6186 (TP, FP, TN, FN)=(1905, 2919, 3957, 2052), Val Loss: 0.6703 (TP, FP, TN, FN)=(207, 327, 400, 256)
Epoch 077: Train Loss: 0.6170 (TP, FP, TN, FN)=(1888, 2905, 3971, 2069), Val Loss: 0.6697 (TP, FP, TN, FN)=(205, 330, 397, 258)
Epoch 078: Train Loss: 0.6154 (TP, FP, TN, FN)=(1921, 2922, 3954, 2036), Val Loss: 0.6685 (TP, FP, TN, FN)=(208, 333, 394, 255)
Epoch 079: Train Loss: 0.6136 (TP, FP, TN, FN)=(1896, 2879, 3997, 2061), Val Loss: 0.6678 (TP, FP, TN, FN)=(205, 326, 401, 258)
Epoch 080: Train Loss: 0.6118 (TP, FP, TN, FN)=(1858, 2787, 4089, 2099), Val Loss: 0.6681 (TP, FP, TN, FN)=(201, 313, 414, 262)
Epoch 081: Train Loss: 0.6099 (TP, FP, TN, FN)=(1848, 2754, 4122, 2109), Val Loss: 0.6677 (TP, FP, TN, FN)=(200, 309, 418, 263)
